$trial	$correctkey	$drift_stimuli	$fundoesquerda	$fundodireita	$alvos
string	string	string	string	string	string
"104"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE14.png"	"R"
"105"	"Left"	"mirablue.png"	"FUNDOCE15.png"	"FUNDO1.png"	"L"
"106"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE16.png"	"R"
"107"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE17.png"	"R"
"108"	"Left"	"mirablue.png"	"FUNDOCE18.png"	"FUNDO1.png"	"L"
"109"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE19.png"	"R"
"110"	"Left"	"mirablue.png"	"FUNDOCE20.png"	"FUNDO1.png"	"L"
"111"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE21.png"	"R"
"112"	"Left"	"mirablue.png"	"FUNDOCE22.png"	"FUNDO1.png"	"L"
"113"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE23.png"	"R"
"114"	"Left"	"mirablue.png"	"FUNDOCE24.png"	"FUNDO1.png"	"L"
"115"	"Left"	"mirablue.png"	"FUNDOCE25.png"	"FUNDO1.png"	"L"
"116"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE26.png"	"R"
"117"	"Left"	"mirablue.png"	"FUNDOCE27.png"	"FUNDO1.png"	"L"
"118"	"Right"	"mirablue.png"	"FUNDO1.png"	"FUNDOCE28.png"	"R"
"119"	"Left"	"mirablue.png"	"FUNDOCE29.png"	"FUNDO1.png"	"L"
"120"	"Left"	"mirablue.png"	"FUNDOCE30.png"	"FUNDO1.png"	"L"
